"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"25",90,92,84,91,89,89,86,88,81,86,90,92,90,86,92,89,88,92,88,85,83,76,93,97,85,95,88,90,86,99,94,88,92,90,91,84,92,92,89,94,95,91,95,82,88,93,80,94,87,89,92,81,99,83,90,81,79,85,90,84,92,89,92,98,94,92,96,94,92,89,88,88,92,90,89,93,93,97,88,89,91,90,87,93,84,94,97,90,94,90,89,90,93,91,89,85,86,86,89,94
"26",22,26,26,23,20,19,25,28,25,21,23,24,24,25,23,24,19,22,24,26,18,21,22,28,29,24,23,21,17,23,23,26,21,20,23,22,23,26,21,19,27,27,21,23,29,23,23,21,26,26,25,27,17,26,22,24,28,22,26,26,21,24,21,18,21,30,20,18,25,23,21,22,30,22,25,22,21,17,24,24,17,23,28,23,21,21,19,25,25,24,24,19,22,20,21,25,21,22,14,21
"27",11,12,11,10,14,18,15,14,14,12,17,14,10,11,17,12,15,12,16,11,14,13,10,13,10,11,17,13,12,13,14,12,12,14,9,15,10,10,16,15,11,13,18,12,10,14,14,9,11,13,7,14,15,17,14,14,11,12,12,16,13,18,14,15,12,7,11,13,12,12,18,13,9,15,12,12,14,13,12,14,12,14,12,12,12,11,14,13,12,10,14,15,14,16,13,15,14,12,16,11
"28",13,7,11,11,6,5,7,7,5,7,6,7,11,9,6,8,8,8,3,5,11,11,10,3,8,7,4,8,11,7,7,6,8,7,4,9,8,6,8,9,8,7,4,10,7,6,5,9,7,8,8,8,7,7,6,6,8,6,7,7,9,6,7,7,8,6,6,7,9,5,5,9,4,6,8,3,11,7,5,4,7,4,5,8,10,4,7,6,7,6,8,6,7,8,11,3,7,8,7,9
"29",0,3,3,2,5,5,2,4,4,5,2,3,2,3,3,6,1,6,5,3,2,4,2,2,4,1,3,6,0,3,5,5,1,2,1,2,3,5,5,3,4,3,7,2,2,2,6,2,2,3,4,2,3,1,6,5,4,3,6,2,3,4,3,3,1,5,6,5,7,7,3,4,4,3,4,4,3,4,3,5,5,7,2,3,7,7,6,4,3,5,5,4,5,3,3,6,4,3,3,6
"30",7,3,1,4,3,2,1,1,3,2,4,5,4,6,3,3,5,1,6,5,5,3,7,3,1,7,2,3,4,5,2,2,6,5,5,4,4,2,2,3,2,3,0,5,4,4,1,6,3,2,2,3,3,1,3,3,5,4,0,4,3,1,3,3,3,3,5,4,1,1,2,1,3,3,3,5,2,5,6,4,6,0,5,4,2,2,4,1,3,4,3,6,3,2,2,5,3,4,2,1
"31",3,5,4,1,1,4,5,4,3,3,4,2,2,1,4,1,3,1,2,3,3,2,3,5,6,1,4,4,4,1,4,3,2,3,3,3,3,3,3,0,4,4,2,3,4,1,5,2,3,3,3,5,4,5,3,4,3,2,3,4,4,4,2,5,5,2,1,3,2,4,3,5,3,6,3,2,1,2,6,1,1,4,3,3,4,1,1,6,3,2,2,3,3,5,2,2,3,4,2,5
"32",1,1,2,4,3,2,2,3,2,2,1,2,3,2,2,1,2,2,2,1,1,2,0,0,1,2,1,0,2,2,3,3,0,3,3,2,1,4,2,4,2,0,4,1,2,3,1,2,4,2,3,2,2,2,1,0,2,3,2,0,1,3,4,2,2,3,2,1,1,1,2,3,2,0,3,2,5,1,0,2,2,1,3,0,1,4,1,1,1,1,1,2,3,1,3,2,2,1,4,1
"33",2,0,0,0,1,0,0,1,0,2,1,2,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,2,1,0,2,1,1,0,1,1,1,1,0,1,2,2,1,0,2,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,2,1,2,0,2,0,3,1,0,2,1,0,1,0,2,0,1,0,0,2,1,0,2,1,1,1,0,0,1,1,1,0,1,0
"34",0,2,3,0,2,1,2,0,2,1,0,0,0,1,1,1,1,2,2,3,2,2,1,0,1,3,1,0,1,2,2,2,2,0,0,0,2,1,2,0,0,1,0,3,0,2,1,1,2,1,0,1,0,0,1,1,1,1,2,2,2,1,2,0,1,2,0,1,1,2,1,1,0,0,2,0,1,1,0,3,0,2,1,2,1,1,2,1,1,1,1,0,2,0,1,0,2,2,2,1
"35",0,1,0,1,1,1,0,1,0,0,1,2,1,1,1,2,1,2,0,0,1,0,1,2,2,1,2,1,1,0,0,0,0,1,3,0,1,0,0,2,2,2,1,1,2,0,1,0,1,0,1,0,2,2,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,2,1,2,1,1,2,0,0,1,2,0,1,1,0,1,1,0,1,2,0,1,0,2,0,1
"36",1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1
"37",1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
"40",0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,2,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1
"41",1,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,1,0,2,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0
"42",0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,2,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,2,2,0,1,1,1,2,0,0,0,0,0,1,1,0,1,0,0,0,1,0,2,1,1,0,1,0,1,0,0,0,1,1,0,2,1,0
"43",0,2,0,1,0,1,0,1,2,1,1,1,1,1,1,0,2,0,0,0,1,0,1,1,1,0,2,1,1,0,0,1,2,0,1,2,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,2,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0
"44",0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,1,0,0,0,1,2,1,0,0,0,0,1,1
"45",1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
"46",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",597,603,593,594,589,585,597,589,589,606,583,600,584,590,608,583,585,588,577,589,596,596,601,591,596,588,589,602,588,586,599,598,577,582,571,572,574,601,579,600,579,584,588,590,589,584,582,602,592,598,592,596,574,575,592,602,598,591,589,593,591,602,593,584,581,586,589,623,601,601,596,589,595,609,560,592,584,599,612,583,568,603,591,599,597,591,571,592,584,581,593,604,585,588,584,611,598,596,598,587
"48",87,80,83,88,81,81,79,90,83,77,83,84,90,90,81,80,87,88,95,84,86,83,82,82,81,82,80,81,80,85,83,81,87,87,89,85,97,85,91,82,91,85,89,89,79,81,87,86,85,83,86,86,85,86,89,85,87,84,92,77,87,80,89,82,98,89,81,76,77,70,82,83,74,79,97,80,86,80,84,85,85,83,81,80,92,80,96,89,81,88,78,78,83,84,85,77,86,81,93,81
"49",19,23,24,18,23,22,22,15,25,25,21,18,17,21,20,24,20,26,17,19,18,24,19,18,22,20,25,16,27,21,20,19,23,26,24,23,18,25,24,27,20,28,18,17,24,22,26,18,24,22,27,22,23,21,19,20,26,27,20,24,20,23,22,21,18,19,29,18,18,24,26,19,24,21,20,27,19,18,20,30,24,18,21,23,14,21,18,28,26,16,19,22,20,20,20,22,13,22,21,27
"50",16,11,15,17,10,17,10,16,9,10,17,13,17,13,11,13,11,7,11,13,11,13,12,14,13,11,15,16,13,13,18,15,16,12,17,18,15,9,9,11,13,9,18,12,10,15,10,12,9,14,10,12,11,13,11,12,8,12,14,14,12,10,12,15,10,11,11,13,17,11,10,13,13,13,11,11,13,17,9,10,11,11,14,10,14,11,13,13,12,15,11,9,15,13,13,14,15,11,9,10
"51",4,3,7,6,8,7,8,6,10,6,6,9,4,7,10,7,13,7,12,6,6,5,8,4,8,9,3,7,4,4,6,6,7,5,2,5,5,5,8,6,4,6,2,10,8,5,6,4,5,5,5,3,9,9,7,7,7,4,4,10,8,7,7,6,6,6,7,3,4,9,7,8,6,5,8,7,7,3,8,3,7,9,7,6,4,9,6,6,6,8,8,6,9,5,8,5,6,6,8,9
