"X","variable","value"
3,"X14",90
4,"X14",71
5,"X14",47
6,"X14",23
7,"X14",32
8,"X14",16
9,"X14",11
10,"X14",7
11,"X14",7
12,"X14",4
13,"X14",2
14,"X14",3
15,"X14",3
16,"X14",7
17,"X14",3
18,"X14",1
19,"X14",0
20,"X14",2
21,"X14",0
22,"X14",611
23,"X14",214
1,"X15",634
2,"X15",227
3,"X15",89
4,"X15",70
5,"X15",44
6,"X15",23
7,"X15",29
8,"X15",19
9,"X15",22
10,"X15",11
11,"X15",5
12,"X15",7
13,"X15",0
14,"X15",5
15,"X15",6
16,"X15",2
17,"X15",0
18,"X15",1
19,"X15",0
20,"X15",1
21,"X15",0
22,"X15",614
23,"X15",209
1,"X16",647
2,"X16",219
3,"X16",107
4,"X16",59
5,"X16",38
6,"X16",34
7,"X16",21
8,"X16",23
9,"X16",8
10,"X16",9
11,"X16",5
12,"X16",5
13,"X16",3
14,"X16",1
15,"X16",7
16,"X16",6
17,"X16",0
18,"X16",1
19,"X16",1
20,"X16",1
21,"X16",0
22,"X16",621
23,"X16",210
1,"X17",626
2,"X17",229
3,"X17",94
4,"X17",64
5,"X17",44
6,"X17",25
7,"X17",30
8,"X17",25
9,"X17",21
10,"X17",4
11,"X17",8
12,"X17",6
13,"X17",0
14,"X17",2
15,"X17",4
16,"X17",1
17,"X17",6
18,"X17",4
19,"X17",1
20,"X17",0
21,"X17",1
22,"X17",611
23,"X17",215
1,"X18",645
2,"X18",214
3,"X18",99
4,"X18",62
5,"X18",49
6,"X18",19
7,"X18",31
8,"X18",19
9,"X18",19
10,"X18",3
11,"X18",11
12,"X18",5
13,"X18",2
14,"X18",3
15,"X18",6
16,"X18",6
17,"X18",0
18,"X18",0
19,"X18",1
20,"X18",1
21,"X18",0
22,"X18",616
23,"X18",214
1,"X19",640
2,"X19",222
3,"X19",103
4,"X19",63
5,"X19",40
6,"X19",34
7,"X19",25
8,"X19",21
9,"X19",11
10,"X19",5
11,"X19",7
12,"X19",4
13,"X19",2
14,"X19",4
15,"X19",4
16,"X19",7
17,"X19",0
18,"X19",2
19,"X19",1
20,"X19",0
21,"X19",0
22,"X19",609
23,"X19",218
1,"X20",637
2,"X20",237
3,"X20",85
4,"X20",78
5,"X20",30
6,"X20",19
7,"X20",33
8,"X20",25
9,"X20",14
10,"X20",5
11,"X20",7
12,"X20",5
13,"X20",3
14,"X20",3
15,"X20",2
16,"X20",2
17,"X20",5
18,"X20",4
19,"X20",0
20,"X20",0
21,"X20",1
22,"X20",623
23,"X20",201
1,"X21",627
2,"X21",232
3,"X21",100
4,"X21",62
5,"X21",41
6,"X21",21
7,"X21",32
8,"X21",24
9,"X21",24
10,"X21",4
11,"X21",3
12,"X21",5
13,"X21",0
14,"X21",2
15,"X21",3
16,"X21",3
17,"X21",5
18,"X21",5
19,"X21",1
20,"X21",0
21,"X21",1
22,"X21",622
23,"X21",213
1,"X22",631
2,"X22",231
3,"X22",91
4,"X22",71
5,"X22",37
6,"X22",26
7,"X22",28
8,"X22",26
9,"X22",13
10,"X22",8
11,"X22",7
12,"X22",5
13,"X22",2
14,"X22",4
15,"X22",2
16,"X22",2
17,"X22",5
18,"X22",5
19,"X22",0
20,"X22",0
21,"X22",1
22,"X22",616
23,"X22",208
1,"X23",637
2,"X23",225
3,"X23",91
4,"X23",69
5,"X23",45
