"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"35",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0
"36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",353,359,351,349,334,345,357,337,357,362,343,351,352,347,374,321,332,338,351,353,339,343,351,351,362,337,333,361,344,323,351,354,348,324,346,345,354,354,356,335,337,339,351,355,329,338,343,343,348,335,334,341,329,360,366,335,351,335,352,352,340,343,334,339,339,347,350,351,354,354,346,345,312,357,351,341,352,345,349,338,332,350,349,357,366,355,353,336,350,351,354,330,363,335,369,333,353,355,369,335
"48",37,31,31,29,38,34,33,35,34,31,37,33,30,39,26,40,42,35,28,37,44,28,34,26,33,37,34,40,32,51,43,29,30,38,31,37,47,30,26,45,37,37,41,28,30,35,39,37,31,31,41,38,35,34,30,39,35,34,27,31,33,28,44,36,43,38,34,35,35,25,45,42,45,34,45,43,41,33,31,40,37,37,36,28,30,27,37,32,37,39,34,43,40,34,35,38,37,40,36,39
"49",7,6,10,14,11,9,8,6,5,9,10,11,7,7,8,11,7,15,13,9,6,12,5,14,6,8,14,5,5,5,5,14,8,8,12,5,6,9,6,9,9,5,5,6,17,13,10,13,12,13,12,6,13,9,7,11,8,10,10,6,11,9,7,7,14,10,11,10,14,13,11,8,9,8,7,7,7,11,13,6,15,4,17,9,8,7,7,9,8,7,11,13,5,15,9,11,9,9,6,7
"50",3,5,4,4,2,5,6,4,5,6,3,5,6,5,5,7,8,2,5,6,7,0,5,6,2,8,4,4,8,5,4,2,4,7,2,3,3,3,8,1,4,2,2,4,3,1,4,5,5,4,3,5,5,7,5,5,4,8,4,6,6,5,1,6,5,2,1,6,2,4,3,5,7,5,2,3,3,3,7,4,3,7,3,2,7,5,3,4,6,2,1,2,4,4,1,3,4,4,5,5
"51",3,2,3,5,4,2,3,2,2,4,6,0,1,3,3,1,2,1,3,2,1,4,1,1,5,2,3,5,1,0,2,2,4,1,3,5,1,3,1,3,4,6,2,4,2,6,2,2,5,1,2,0,2,1,2,3,3,0,2,2,3,2,3,1,0,1,3,2,3,4,1,2,0,4,2,6,2,2,2,5,2,4,1,2,0,4,1,4,2,3,3,0,2,1,2,1,2,0,3,3
"52",0,3,2,0,1,1,0,0,3,0,0,1,3,0,0,2,4,2,1,0,0,1,4,0,0,1,1,1,1,0,0,2,2,2,0,0,0,2,1,1,0,2,1,1,2,0,3,1,2,2,1,2,1,0,1,1,0,1,3,3,3,0,1,3,1,3,1,0,1,0,0,2,2,1,1,1,1,5,0,0,2,0,1,2,1,1,0,1,0,2,2,2,0,2,1,1,1,1,0,1
"53",4,1,0,0,1,0,0,1,1,0,2,0,0,2,0,0,0,0,1,1,0,2,0,0,1,0,1,0,1,1,1,0,1,2,2,2,0,1,1,0,1,2,0,2,1,0,0,0,0,2,2,0,1,1,0,0,2,3,2,0,1,0,1,2,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,3,2,0,0,1,1,1,0,1,1,1,0,0,1
"54",0,0,1,0,1,2,1,2,1,1,0,1,0,1,1,0,0,2,0,1,2,1,0,1,1,0,2,0,0,1,1,0,2,1,0,1,0,2,1,1,0,0,1,1,0,1,1,0,0,1,0,2,0,1,0,2,0,0,0,0,0,3,1,0,0,1,2,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0
"55",0,1,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,2,2,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
