"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
"40",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,2,1,0,0,1,0,1,0,1,0,0
"41",1,3,0,0,1,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,2,1,0,0,1,1,0,0,1,2,0,1,1,1,0,0,1,1,2,0,1,1,1,2,0,0,1,0,1,1,1,0,1,1,0,0,2,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,2,0,1,2,0,1,1,0,2,0,1,0,0,0,0,0,0,1,0,1,1,1
"42",0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,2,0,1,1,0,1,0,1,2,0,1,1,1,0,0,0,0,0,0,0,1,1,0,2,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,3,1,0,1,2,0,0,2,0,0,0,1,0,1,0,0,1,1,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,2,2,0,0,1,0,0,1,0
"43",1,0,0,2,1,2,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,2,1,0,0,0,1,1,0,0,2,0,1,0,0,1,1,3,0,0,1,1,1,1,1,0,1,0,0,1,2,0,1,0,0,2,1,0,0,0,0,1,0,1,1,0,1,2,0,2,0,0,0
"44",0,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,2,0,0,1,0,1,0,2,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,2,1,0,0,2,1,1,2,1,0,0,0,0,1,1,0,1,0,0,2
"45",0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"46",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"47",582,590,590,614,605,601,606,610,594,594,597,612,588,591,593,595,586,588,598,600,583,600,573,595,602,599,593,613,594,585,615,597,588,600,590,585,605,602,606,588,575,594,586,583,591,596,576,600,584,591,581,600,595,588,578,598,588,600,596,588,588,596,586,589,597,587,584,582,604,591,585,595,606,587,598,587,595,587,594,596,579,597,599,594,604,613,590,588,599,575,599,580,586,599,607,599,571,602,601,576
"48",93,83,94,66,84,77,79,82,86,73,77,78,91,82,92,89,90,85,79,83,88,72,88,87,89,80,75,76,80,81,79,91,83,82,86,92,86,83,80,91,90,85,93,88,88,81,87,79,89,79,94,77,81,79,85,76,85,77,78,79,87,83,93,83,83,85,84,95,78,86,87,82,74,78,83,85,88,86,81,87,90,87,82,81,83,74,89,88,87,90,90,85,82,91,79,85,83,81,76,91
"49",24,16,21,28,21,22,21,21,21,25,22,28,13,24,23,16,18,21,25,23,25,27,22,20,21,25,21,17,21,33,23,17,23,18,22,20,20,20,21,22,22,24,21,16,21,25,24,25,19,23,26,23,20,22,25,28,22,21,21,24,19,18,19,25,18,21,16,25,16,23,20,20,24,24,22,22,16,20,14,18,17,15,18,19,19,23,23,20,19,20,28,28,23,15,26,21,25,25,27,22
"50",10,16,8,7,11,10,13,8,12,9,12,7,14,15,8,13,13,12,14,13,10,14,14,9,13,13,16,11,12,6,13,12,11,10,9,7,8,12,12,8,9,15,14,13,17,10,11,11,13,12,8,11,14,14,9,10,11,15,14,10,15,14,16,9,13,12,17,11,15,11,16,12,12,12,13,14,15,12,15,15,16,18,9,15,13,11,13,14,8,11,10,9,15,13,11,17,13,9,10,11
"51",3,4,7,7,8,7,9,8,8,10,6,4,9,8,4,7,8,8,5,5,5,5,6,9,5,3,4,6,4,6,3,8,9,7,8,8,6,7,9,9,9,6,7,8,6,6,6,3,8,7,8,7,4,8,7,8,7,3,7,7,5,3,4,6,5,4,4,8,4,6,5,8,10,7,3,5,5,9,6,6,6,3,8,8,8,7,4,6,7,9,6,5,4,6,6,7,8,8,6,6
"52",5,3,4,7,3,6,2,3,1,4,3,6,4,1,2,2,3,3,2,4,5,2,5,4,4,5,6,5,4,5,7,4,3,4,4,4,5,4,3,3,5,3,3,5,2,6,6,5,5,3,2,1,4,5,5,2,4,4,5,4,1,6,4,2,4,8,5,2,7,1,6,5,2,5,4,4,5,2,3,5,3,3,4,3,3,5,3,2,7,3,1,4,2,2,5,2,6,6,4,1
